Category,Description,Inputs,Outputs,Status
UniqueSet Market,Um Rune -> Warshrike,"Stamina Potion,Um Rune,Winged Knife,Identify Scroll",Warshrike,EXISTING
UniqueSet Market,Warshrike -> Pul Rune,"Antidote Potion,Warshrike",Pul Rune,EXISTING
UniqueSet Market,"Lo Rune -> Tomb Reaver,eth","Stamina Potion,Lo Rune,Cryptic Axe,Identify Scroll","Tomb Reaver,eth",EXISTING
UniqueSet Market,"Tomb Reaver,eth -> Ohm Rune","Antidote Potion,Tomb Reaver,eth",Ohm Rune,EXISTING
UniqueSet Market,Mal Rune -> Tomb Reaver,"Stamina Potion,Mal Rune,Cryptic Axe,Identify Scroll",Tomb Reaver,EXISTING
UniqueSet Market,Tomb Reaver -> Um Rune,"Antidote Potion,Tomb Reaver",Um Rune,EXISTING
UniqueSet Market,Lo Rune -> Deaths's Web,"Stamina Potion,Lo Rune,Unearthed Wand,Identify Scroll",Deaths's Web,EXISTING
UniqueSet Market,Deaths's Web -> Ohm Rune,"Antidote Potion,Deaths's Web",Ohm Rune,EXISTING
UniqueSet Market,Ist Rune -> Azurewrath,"Stamina Potion,Ist Rune,Phase Blade,Mal Rune",Azurewrath,EXISTING
UniqueSet Market,Azurewrath -> Ist Rune,"Antidote Potion,Azurewrath",Ist Rune,EXISTING
UniqueSet Market,Pul Rune -> Seraph's Hymn,"Stamina Potion,Pul Rune,amulet,Lem Rune",Seraph's Hymn,EXISTING
UniqueSet Market,Seraph's Hymn -> Lem Rune,"Antidote Potion,Seraph's Hymn",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Fleshripper,"Stamina Potion,Um Rune,Fanged Knife,Identify Scroll",Fleshripper,EXISTING
UniqueSet Market,Fleshripper -> Pul Rune,"Antidote Potion,Fleshripper",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Jadetalon,"Stamina Potion,Um Rune,Wrist Sword,Identify Scroll",Jadetalon,EXISTING
UniqueSet Market,Jadetalon -> Pul Rune,"Antidote Potion,Jadetalon",Pul Rune,EXISTING
UniqueSet Market,Vex Rune -> Shadowdancer,"Stamina Potion,Vex Rune,Myrmidon Greave,Identify Scroll",Shadowdancer,EXISTING
UniqueSet Market,Shadowdancer -> Gul Rune,"Antidote Potion,Shadowdancer",Gul Rune,EXISTING
UniqueSet Market,Ist Rune -> Tyrael's Might,"Stamina Potion,Ist Rune,Sacred Armor,Identify Scroll",Tyrael's Might,EXISTING
UniqueSet Market,Tyrael's Might -> Mal Rune,"Antidote Potion,Tyrael's Might",Mal Rune,EXISTING
UniqueSet Market,"Ohm Rune -> Runemaster,eth","Stamina Potion,Ohm Rune,Ettin Axe,Identify Scroll","Runemaster,eth",EXISTING
UniqueSet Market,"Runemaster,eth -> Vex Rune","Antidote Potion,Runemaster,eth",Vex Rune,EXISTING
UniqueSet Market,Um Rune -> Runemaster,"Stamina Potion,Um Rune,Ettin Axe,Identify Scroll",Runemaster,EXISTING
UniqueSet Market,Runemaster -> Pul Rune,"Antidote Potion,Runemaster",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Deathcleaver,"Stamina Potion,Ist Rune,Berserker Axe,Identify Scroll",Deathcleaver,EXISTING
UniqueSet Market,Deathcleaver -> Mal Rune,"Antidote Potion,Deathcleaver",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Leviathan,"Stamina Potion,Um Rune,Kraken Shell,Identify Scroll",Leviathan,EXISTING
UniqueSet Market,Leviathan -> Pul Rune,"Antidote Potion,Leviathan",Pul Rune,EXISTING
UniqueSet Market,Pul Rune -> Wisp,"Stamina Potion,Pul Rune,ring,Identify Scroll",Wisp,EXISTING
UniqueSet Market,Wisp -> Fal Rune,"Antidote Potion,Wisp",Fal Rune,EXISTING
UniqueSet Market,"Ist Rune -> Lacerator,eth","Stamina Potion,Ist Rune,Winged Axe,Identify Scroll","Lacerator,eth",EXISTING
UniqueSet Market,"Lacerator,eth -> Mal Rune","Antidote Potion,Lacerator,eth",Mal Rune,EXISTING
UniqueSet Market,Vex Rune -> Mang Song's Lesson,"Stamina Potion,Vex Rune,Archon Staff,Identify Scroll",Mang Song's Lesson,EXISTING
UniqueSet Market,Mang Song's Lesson -> Gul Rune,"Antidote Potion,Mang Song's Lesson",Gul Rune,EXISTING
UniqueSet Market,"Lo Rune -> The Reaper's Toll,eth","Stamina Potion,Lo Rune,Thresher,Identify Scroll","The Reaper's Toll,eth",EXISTING
UniqueSet Market,"The Reaper's Toll,eth -> Ohm Rune","Antidote Potion,The Reaper's Toll,eth",Ohm Rune,EXISTING
UniqueSet Market,Mal Rune -> The Reaper's Toll,"Stamina Potion,Mal Rune,Thresher,Identify Scroll",The Reaper's Toll,EXISTING
UniqueSet Market,The Reaper's Toll -> Um Rune,"Antidote Potion,The Reaper's Toll",Um Rune,EXISTING
UniqueSet Market,Um Rune -> Widowmaker,"Stamina Potion,Um Rune,Ward Bow,Identify Scroll",Widowmaker,EXISTING
UniqueSet Market,Widowmaker -> Lem Rune,"Antidote Potion,Widowmaker",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Bloodraven's Charge,"Stamina Potion,Um Rune,Matriarchal Bow,Identify Scroll",Bloodraven's Charge,EXISTING
UniqueSet Market,Bloodraven's Charge -> Lem Rune,"Antidote Potion,Bloodraven's Charge",Lem Rune,EXISTING
UniqueSet Market,Ber Rune -> Griffon's Eye,"Stamina Potion,Ber Rune,Diadem,Identify Scroll",Griffon's Eye,EXISTING
UniqueSet Market,Griffon's Eye -> Sur Rune,"Antidote Potion,Griffon's Eye",Sur Rune,EXISTING
UniqueSet Market,Mal Rune -> Thunderstroke,"Stamina Potion,Mal Rune,Matriarchal Jav,Identify Scroll",Thunderstroke,EXISTING
UniqueSet Market,Thunderstroke -> Um Rune,"Antidote Potion,Thunderstroke",Um Rune,EXISTING
UniqueSet Market,Gul Rune -> Boneflame,"Stamina Potion,Gul Rune,Succubae Skull,Identify Scroll",Boneflame,EXISTING
UniqueSet Market,Boneflame -> Mal Rune,"Antidote Potion,Boneflame",Mal Rune,EXISTING
UniqueSet Market,Vex Rune -> Nightwing's Veil,"Stamina Potion,Vex Rune,Spired Helm,Ist Rune",Nightwing's Veil,EXISTING
UniqueSet Market,Nightwing's Veil -> Gul Rune,"Antidote Potion,Nightwing's Veil",Gul Rune,EXISTING
UniqueSet Market,Ohm Rune -> Crown of Ages,"Stamina Potion,Ohm Rune,Corona,Identify Scroll",Crown of Ages,EXISTING
UniqueSet Market,Crown of Ages -> Vex Rune,"Antidote Potion,Crown of Ages",Vex Rune,EXISTING
UniqueSet Market,"Jah Rune -> Andariel's Visage,eth","Stamina Potion,Jah Rune,Demonhead,Ber Rune","Andariel's Visage,eth",EXISTING
UniqueSet Market,"Andariel's Visage,eth -> Jah Rune","Antidote Potion,Andariel's Visage,eth",Jah Rune,EXISTING
UniqueSet Market,Gul Rune -> Andariel's Visage,"Stamina Potion,Gul Rune,Demonhead,Identify Scroll",Andariel's Visage,EXISTING
UniqueSet Market,Andariel's Visage -> Ist Rune,"Antidote Potion,Andariel's Visage",Ist Rune,EXISTING
UniqueSet Market,Ist Rune -> Dragonscale,"Stamina Potion,Ist Rune,Zakarum Shield,Mal Rune",Dragonscale,EXISTING
UniqueSet Market,Dragonscale -> Ist Rune,"Antidote Potion,Dragonscale",Ist Rune,EXISTING
UniqueSet Market,Um Rune -> Ravenlore,"Stamina Potion,Um Rune,Sky Spirit,Identify Scroll",Ravenlore,EXISTING
UniqueSet Market,Ravenlore -> Pul Rune,"Antidote Potion,Ravenlore",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Boneshade,"Stamina Potion,Um Rune,Lich Wand,Identify Scroll",Boneshade,EXISTING
UniqueSet Market,Boneshade -> Pul Rune,"Antidote Potion,Boneshade",Pul Rune,EXISTING
UniqueSet Market,Lo Rune -> Fathom,"Stamina Potion,Lo Rune,Dimensional Shrd,Identify Scroll",Fathom,EXISTING
UniqueSet Market,Fathom -> Ohm Rune,"Antidote Potion,Fathom",Ohm Rune,EXISTING
UniqueSet Market,Mal Rune -> Wolfhowl,"Stamina Potion,Mal Rune,Fury Visor,Identify Scroll",Wolfhowl,EXISTING
UniqueSet Market,Wolfhowl -> Um Rune,"Antidote Potion,Wolfhowl",Um Rune,EXISTING
UniqueSet Market,Ohm Rune -> Kira's Guardian,"Stamina Potion,Ohm Rune,Tiara,Identify Scroll",Kira's Guardian,EXISTING
UniqueSet Market,Kira's Guardian -> Vex Rune,"Antidote Potion,Kira's Guardian",Vex Rune,EXISTING
UniqueSet Market,Mal Rune -> Ormus' Robes,"Stamina Potion,Mal Rune,Dusk Shroud,Identify Scroll",Ormus' Robes,EXISTING
UniqueSet Market,Ormus' Robes -> Um Rune,"Antidote Potion,Ormus' Robes",Um Rune,EXISTING
UniqueSet Market,Mal Rune -> Gheed's Fortune,"Stamina Potion,Mal Rune,Charm Grand,Identify Scroll",Gheed's Fortune,EXISTING
UniqueSet Market,Gheed's Fortune -> Um Rune,"Antidote Potion,Gheed's Fortune",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> Stormlash,"Stamina Potion,Ist Rune,Scourge,Mal Rune",Stormlash,EXISTING
UniqueSet Market,Stormlash -> Ist Rune,"Antidote Potion,Stormlash",Ist Rune,EXISTING
UniqueSet Market,Ist Rune -> Dracul's Grasp,"Stamina Potion,Ist Rune,Vampirebone Gl,Identify Scroll",Dracul's Grasp,EXISTING
UniqueSet Market,Dracul's Grasp -> Mal Rune,"Antidote Potion,Dracul's Grasp",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Templar's Might,"Stamina Potion,Ist Rune,Sacred Armor,Mal Rune",Templar's Might,EXISTING
UniqueSet Market,Templar's Might -> Ist Rune,"Antidote Potion,Templar's Might",Ist Rune,EXISTING
UniqueSet Market,Ist Rune -> Eschuta's temper,"Stamina Potion,Ist Rune,Eldritch Orb,Mal Rune",Eschuta's temper,EXISTING
UniqueSet Market,Eschuta's temper -> Ist Rune,"Antidote Potion,Eschuta's temper",Ist Rune,EXISTING
UniqueSet Market,Ist Rune -> Sandstorm Trek,"Stamina Potion,Ist Rune,Scarabshell Bts,Identify Scroll",Sandstorm Trek,EXISTING
UniqueSet Market,Sandstorm Trek -> Mal Rune,"Antidote Potion,Sandstorm Trek",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Marrowwalk,"Stamina Potion,Ist Rune,Boneweave Boots,Identify Scroll",Marrowwalk,EXISTING
UniqueSet Market,Marrowwalk -> Mal Rune,"Antidote Potion,Marrowwalk",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Heaven's Light,"Stamina Potion,Ist Rune,Mighty Sceptre,Pul Rune",Heaven's Light,EXISTING
UniqueSet Market,Heaven's Light -> Mal Rune,"Antidote Potion,Heaven's Light",Mal Rune,EXISTING
UniqueSet Market,Gul Rune -> Arachnid Mesh,"Stamina Potion,Gul Rune,Spiderweb Sash,Identify Scroll",Arachnid Mesh,EXISTING
UniqueSet Market,Arachnid Mesh -> Ist Rune,"Antidote Potion,Arachnid Mesh",Ist Rune,EXISTING
UniqueSet Market,Gul Rune -> Metalgrid,"Stamina Potion,Gul Rune,amulet,Identify Scroll",Metalgrid,EXISTING
UniqueSet Market,Metalgrid -> Mal Rune,"Antidote Potion,Metalgrid",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Verdugo's Hearty Cord,"Stamina Potion,Ist Rune,Mithril Coil,Identify Scroll",Verdugo's Hearty Cord,EXISTING
UniqueSet Market,Verdugo's Hearty Cord -> Mal Rune,"Antidote Potion,Verdugo's Hearty Cord",Mal Rune,EXISTING
UniqueSet Market,Lem Rune -> Carrion Wind,"Stamina Potion,Lem Rune,ring,Fal Rune",Carrion Wind,EXISTING
UniqueSet Market,Carrion Wind -> Ko Rune,"Antidote Potion,Carrion Wind",Ko Rune,EXISTING
UniqueSet Market,Vex Rune -> Giantskull,"Stamina Potion,Vex Rune,Bone Visage,Identify Scroll",Giantskull,EXISTING
UniqueSet Market,Giantskull -> Ist Rune,"Antidote Potion,Giantskull",Ist Rune,EXISTING
UniqueSet Market,Ist Rune -> Ironward,"Stamina Potion,Ist Rune,Caduceus,Identify Scroll",Ironward,EXISTING
UniqueSet Market,Ironward -> Mal Rune,"Antidote Potion,Ironward",Mal Rune,EXISTING
UniqueSet Market,Mal Rune -> Arioc's Needle,"Stamina Potion,Mal Rune,Hyperion Spear,Identify Scroll",Arioc's Needle,EXISTING
UniqueSet Market,Arioc's Needle -> Um Rune,"Antidote Potion,Arioc's Needle",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> Bonehew,"Stamina Potion,Ist Rune,Ogre Axe,Identify Scroll",Bonehew,EXISTING
UniqueSet Market,Bonehew -> Mal Rune,"Antidote Potion,Bonehew",Mal Rune,EXISTING
UniqueSet Market,Mal Rune -> Ondal's Wisdom,"Stamina Potion,Mal Rune,Elder Staff,Identify Scroll",Ondal's Wisdom,EXISTING
UniqueSet Market,Ondal's Wisdom -> Um Rune,"Antidote Potion,Ondal's Wisdom",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> The Reedeemer,"Stamina Potion,Ist Rune,Mighty Sceptre,Identify Scroll",The Reedeemer,EXISTING
UniqueSet Market,The Reedeemer -> Mal Rune,"Antidote Potion,The Reedeemer",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Headhunter's Glory,"Stamina Potion,Ist Rune,Troll Nest,Identify Scroll",Headhunter's Glory,EXISTING
UniqueSet Market,Headhunter's Glory -> Mal Rune,"Antidote Potion,Headhunter's Glory",Mal Rune,EXISTING
UniqueSet Market,Ohm Rune -> Steelrend,"Stamina Potion,Ohm Rune,Ogre Gauntlets,Identify Scroll",Steelrend,EXISTING
UniqueSet Market,Steelrend -> Vex Rune,"Antidote Potion,Steelrend",Vex Rune,EXISTING
UniqueSet Market,Ohm Rune -> Ars Al'Diablolos,"Stamina Potion,Ohm Rune,Blasphemous Grimoire,Identify Scroll",Ars Al'Diablolos,EXISTING
UniqueSet Market,Ars Al'Diablolos -> Vex Rune,"Antidote Potion,Ars Al'Diablolos",Vex Rune,EXISTING
UniqueSet Market,Ohm Rune -> Ars Tor'Baalos,"Stamina Potion,Ohm Rune,Blasphemous Compendium,Identify Scroll",Ars Tor'Baalos,EXISTING
UniqueSet Market,Ars Tor'Baalos -> Vex Rune,"Antidote Potion,Ars Tor'Baalos",Vex Rune,EXISTING
UniqueSet Market,Ohm Rune -> Ars Dul'Mephistos,"Stamina Potion,Ohm Rune,Occult Tome,Identify Scroll",Ars Dul'Mephistos,EXISTING
UniqueSet Market,Ars Dul'Mephistos -> Vex Rune,"Antidote Potion,Ars Dul'Mephistos",Vex Rune,EXISTING
UniqueSet Market,Ist Rune -> Measured Wrath,"Stamina Potion,Ist Rune,Burnt Text,Mal Rune",Measured Wrath,EXISTING
UniqueSet Market,Measured Wrath -> Ist Rune,"Antidote Potion,Measured Wrath",Ist Rune,EXISTING
UniqueSet Market,Vex Rune -> Dreadfang,"Stamina Potion,Vex Rune,Legend Sword,Identify Scroll",Dreadfang,EXISTING
UniqueSet Market,Dreadfang -> Gul Rune,"Antidote Potion,Dreadfang",Gul Rune,EXISTING
UniqueSet Market,Um Rune -> Wraithstep,"Stamina Potion,Um Rune,Mirrored Boots,Identify Scroll",Wraithstep,EXISTING
UniqueSet Market,Wraithstep -> Pul Rune,"Antidote Potion,Wraithstep",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Bloodpact Shard,"Stamina Potion,Mal Rune,Mithral Point,Identify Scroll",Bloodpact Shard,EXISTING
UniqueSet Market,Bloodpact Shard -> Um Rune,"Antidote Potion,Bloodpact Shard",Um Rune,EXISTING
UniqueSet Market,Sur Rune -> Sling,"Stamina Potion,Sur Rune,ring,Vex Rune",Sling,EXISTING
UniqueSet Market,Sling -> Lo Rune,"Antidote Potion,Sling",Lo Rune,EXISTING
UniqueSet Market,Sur Rune -> Opalvein,"Stamina Potion,Sur Rune,ring,Identify Scroll",Opalvein,EXISTING
UniqueSet Market,Opalvein -> Lo Rune,"Antidote Potion,Opalvein",Lo Rune,EXISTING
UniqueSet Market,Ber Rune -> Entropy Locket,"Stamina Potion,Ber Rune,amulet,Identify Scroll",Entropy Locket,EXISTING
UniqueSet Market,Entropy Locket -> Sur Rune,"Antidote Potion,Entropy Locket",Sur Rune,EXISTING
UniqueSet Market,Ist Rune -> Gheed's Wager,"Stamina Potion,Ist Rune,Troll Belt,Mal Rune",Gheed's Wager,EXISTING
UniqueSet Market,Gheed's Wager -> Ist Rune,"Antidote Potion,Gheed's Wager",Ist Rune,EXISTING
UniqueSet Market,Ber Rune -> Unique Warlock Helm,"Stamina Potion,Ber Rune,Death Mask,Identify Scroll",Unique Warlock Helm,EXISTING
UniqueSet Market,Unique Warlock Helm -> Sur Rune,"Antidote Potion,Unique Warlock Helm",Sur Rune,EXISTING
UniqueSet Market,Sur Rune -> Crafted Cold Rupture,"Stamina Potion,Sur Rune,Charm Grand,Perfect Sapphire",Crafted Cold Rupture,EXISTING
UniqueSet Market,Crafted Cold Rupture -> Lo Rune,"Antidote Potion,Crafted Cold Rupture",Lo Rune,EXISTING
UniqueSet Market,Sur Rune -> Crafted Flame Rift,"Stamina Potion,Sur Rune,Charm Grand,Perfect Ruby",Crafted Flame Rift,EXISTING
UniqueSet Market,Crafted Flame Rift -> Lo Rune,"Antidote Potion,Crafted Flame Rift",Lo Rune,EXISTING
UniqueSet Market,Sur Rune -> Crafted Crack of the Heavens,"Stamina Potion,Sur Rune,Charm Grand,Perfect Diamond",Crafted Crack of the Heavens,EXISTING
UniqueSet Market,Crafted Crack of the Heavens -> Lo Rune,"Antidote Potion,Crafted Crack of the Heavens",Lo Rune,EXISTING
UniqueSet Market,Sur Rune -> Crafted Rotting Fissure,"Stamina Potion,Sur Rune,Charm Grand,Perfect Emerald",Crafted Rotting Fissure,EXISTING
UniqueSet Market,Crafted Rotting Fissure -> Lo Rune,"Antidote Potion,Crafted Rotting Fissure",Lo Rune,EXISTING
UniqueSet Market,Sur Rune -> Crafted Bone Break,"Stamina Potion,Sur Rune,Charm Grand,Perfect Skull",Crafted Bone Break,EXISTING
UniqueSet Market,Crafted Bone Break -> Lo Rune,"Antidote Potion,Crafted Bone Break",Lo Rune,EXISTING
UniqueSet Market,Sur Rune -> Crafted Black Cleft,"Stamina Potion,Sur Rune,Charm Grand,Perfect Amethyst",Crafted Black Cleft,EXISTING
UniqueSet Market,Crafted Black Cleft -> Lo Rune,"Antidote Potion,Crafted Black Cleft",Lo Rune,EXISTING
UniqueSet Market,Ist Rune -> Token of Absolution,"Stamina Potion,Ist Rune,Thawing Potion,Identify Scroll",Token of Absolution,EXISTING
UniqueSet Market,Token of Absolution -> Mal Rune,"Antidote Potion,Token of Absolution",Mal Rune,EXISTING
Junk Market,Pul Rune -> Civerb's Ward,"Stamina Potion,Pul Rune,Large Shield,Town Portal Scroll",Civerb's Ward,EXISTING
Junk Market,Civerb's Ward -> Perfect Emerald,"Antidote Potion,Civerb's Ward",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Civerb's Icon,"Stamina Potion,Pul Rune,amulet,Glaive",Civerb's Icon,EXISTING
Junk Market,Civerb's Icon -> Perfect Emerald,"Antidote Potion,Civerb's Icon",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Civerb's Cudgel,"Stamina Potion,Pul Rune,Grand Sceptre,Town Portal Scroll",Civerb's Cudgel,EXISTING
Junk Market,Civerb's Cudgel -> Perfect Emerald,"Antidote Potion,Civerb's Cudgel",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Hsarus' Iron Heel,"Stamina Potion,Pul Rune,Chain Boots,Town Portal Scroll",Hsarus' Iron Heel,EXISTING
Junk Market,Hsarus' Iron Heel -> Perfect Emerald,"Antidote Potion,Hsarus' Iron Heel",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Hsarus' Iron Fist,"Stamina Potion,Pul Rune,Buckler,Town Portal Scroll",Hsarus' Iron Fist,EXISTING
Junk Market,Hsarus' Iron Fist -> Perfect Emerald,"Antidote Potion,Hsarus' Iron Fist",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Hsarus' Iron Stay,"Stamina Potion,Pul Rune,Belt,Town Portal Scroll",Hsarus' Iron Stay,EXISTING
Junk Market,Hsarus' Iron Stay -> Perfect Emerald,"Antidote Potion,Hsarus' Iron Stay",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cleglaw's Tooth,"Stamina Potion,Pul Rune,Long Sword,Town Portal Scroll",Cleglaw's Tooth,EXISTING
Junk Market,Cleglaw's Tooth -> Perfect Emerald,"Antidote Potion,Cleglaw's Tooth",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cleglaw's Claw,"Stamina Potion,Pul Rune,Small Shield,Town Portal Scroll",Cleglaw's Claw,EXISTING
Junk Market,Cleglaw's Claw -> Perfect Emerald,"Antidote Potion,Cleglaw's Claw",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cleglaw's Pincers,"Stamina Potion,Pul Rune,Chain Gloves,Town Portal Scroll",Cleglaw's Pincers,EXISTING
Junk Market,Cleglaw's Pincers -> Perfect Emerald,"Antidote Potion,Cleglaw's Pincers",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Iratha's Collar,"Stamina Potion,Pul Rune,amulet,Flawless Ruby",Iratha's Collar,EXISTING
Junk Market,Iratha's Collar -> Perfect Emerald,"Antidote Potion,Iratha's Collar",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Iratha's Cuff,"Stamina Potion,Pul Rune,Light Gauntlets,Town Portal Scroll",Iratha's Cuff,EXISTING
Junk Market,Iratha's Cuff -> Perfect Emerald,"Antidote Potion,Iratha's Cuff",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Iratha's Coil,"Stamina Potion,Pul Rune,Crown,Town Portal Scroll",Iratha's Coil,EXISTING
Junk Market,Iratha's Coil -> Perfect Emerald,"Antidote Potion,Iratha's Coil",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Iratha's Cord,"Stamina Potion,Pul Rune,Heavy Belt,Town Portal Scroll",Iratha's Cord,EXISTING
Junk Market,Iratha's Cord -> Perfect Emerald,"Antidote Potion,Iratha's Cord",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Isenhart's Lightbrand,"Stamina Potion,Pul Rune,Broad Sword,Town Portal Scroll",Isenhart's Lightbrand,EXISTING
Junk Market,Isenhart's Lightbrand -> Perfect Emerald,"Antidote Potion,Isenhart's Lightbrand",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Isenhart's Parry,"Stamina Potion,Pul Rune,Gothic Shield,Town Portal Scroll",Isenhart's Parry,EXISTING
Junk Market,Isenhart's Parry -> Perfect Emerald,"Antidote Potion,Isenhart's Parry",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Isenhart's Case,"Stamina Potion,Pul Rune,Breast Plate,Town Portal Scroll",Isenhart's Case,EXISTING
Junk Market,Isenhart's Case -> Perfect Emerald,"Antidote Potion,Isenhart's Case",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Isenhart's Horns,"Stamina Potion,Pul Rune,Full Helm,Town Portal Scroll",Isenhart's Horns,EXISTING
Junk Market,Isenhart's Horns -> Perfect Emerald,"Antidote Potion,Isenhart's Horns",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Vidala's Barb,"Stamina Potion,Pul Rune,Long Battle Bow,Flawless Saphire",Vidala's Barb,EXISTING
Junk Market,Vidala's Barb -> Perfect Emerald,"Antidote Potion,Vidala's Barb",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Vidala's Fetlock,"Stamina Potion,Pul Rune,Light Plate,Town Portal Scroll",Vidala's Fetlock,EXISTING
Junk Market,Vidala's Fetlock -> Perfect Emerald,"Antidote Potion,Vidala's Fetlock",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Vidala's Ambush,"Stamina Potion,Pul Rune,Leather Armor,Town Portal Scroll",Vidala's Ambush,EXISTING
Junk Market,Vidala's Ambush -> Perfect Emerald,"Antidote Potion,Vidala's Ambush",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Vidala's Snare,"Stamina Potion,Pul Rune,amulet,Town Portal Scroll",Vidala's Snare,EXISTING
Junk Market,Vidala's Snare -> Perfect Emerald,"Antidote Potion,Vidala's Snare",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Milabrega's Orb,"Stamina Potion,Pul Rune,Kite Shield,Town Portal Scroll",Milabrega's Orb,EXISTING
Junk Market,Milabrega's Orb -> Perfect Emerald,"Antidote Potion,Milabrega's Orb",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Milabrega's Rod,"Stamina Potion,Pul Rune,War Sceptre,Town Portal Scroll",Milabrega's Rod,EXISTING
Junk Market,Milabrega's Rod -> Perfect Emerald,"Antidote Potion,Milabrega's Rod",Perfect Emerald,EXISTING
Junk Market,Fal Rune -> Milabrega's Diadem,"Stamina Potion,Fal Rune,Crown,Town Portal Scroll",Milabrega's Diadem,EXISTING
Junk Market,Milabrega's Diadem -> Perfect Emerald,"Antidote Potion,Milabrega's Diadem",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Milabrega's Robe,"Stamina Potion,Pul Rune,Ancient Armor,Town Portal Scroll",Milabrega's Robe,EXISTING
Junk Market,Milabrega's Robe -> Perfect Emerald,"Antidote Potion,Milabrega's Robe",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cathan's Rule,"Stamina Potion,Pul Rune,Battle Staff,Flawless Topaz",Cathan's Rule,EXISTING
Junk Market,Cathan's Rule -> Perfect Emerald,"Antidote Potion,Cathan's Rule",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cathan's Mesh,"Stamina Potion,Pul Rune,Chain Mail,Town Portal Scroll",Cathan's Mesh,EXISTING
Junk Market,Cathan's Mesh -> Perfect Emerald,"Antidote Potion,Cathan's Mesh",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cathan's Visage,"Stamina Potion,Pul Rune,Mask,Town Portal Scroll",Cathan's Visage,EXISTING
Junk Market,Cathan's Visage -> Perfect Emerald,"Antidote Potion,Cathan's Visage",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cathan's Sigil,"Stamina Potion,Pul Rune,amulet,Flawless Topaz",Cathan's Sigil,EXISTING
Junk Market,Cathan's Sigil -> Perfect Emerald,"Antidote Potion,Cathan's Sigil",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Cathan's Seal,"Stamina Potion,Pul Rune,ring,Town Portal Scroll",Cathan's Seal,EXISTING
Junk Market,Cathan's Seal -> Perfect Emerald,"Antidote Potion,Cathan's Seal",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Tancred's Crowbill,"Stamina Potion,Pul Rune,Military Pick,Town Portal Scroll",Tancred's Crowbill,EXISTING
Junk Market,Tancred's Crowbill -> Perfect Emerald,"Antidote Potion,Tancred's Crowbill",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Tancred's Spine,"Stamina Potion,Pul Rune,Full Plate Mail,Town Portal Scroll",Tancred's Spine,EXISTING
Junk Market,Tancred's Spine -> Perfect Emerald,"Antidote Potion,Tancred's Spine",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Tancred's Hobnails,"Stamina Potion,Pul Rune,Boots,Town Portal Scroll",Tancred's Hobnails,EXISTING
Junk Market,Tancred's Hobnails -> Perfect Emerald,"Antidote Potion,Tancred's Hobnails",Perfect Emerald,EXISTING
Junk Market,Pul Rune -> Tancred's Weird,"Stamina Potion,Pul Rune,amulet,Flawless Diamond",Tancred's Weird,EXISTING
